moqui.basic.LocalizedMessage,demo
locale,original,localized
zh,01 Damaged in Shipping,01 运输损坏
zh,02 Defective,02 有缺陷
zh,03 Wrong Item Shipped,03 发错货
zh,04 Not as Expected,04 不如预期
zh,05 Did not Fit/Wrong Size,05 不合适/尺寸错误
zh,06 Duplicate Shipment,06 重复发货
zh,"07 Gift, Not Wanted",《07 礼物，不想要》
zh,08 Arrived Too Late,08 来得太晚
zh,09 Did not Want/Like,09 不想要/喜欢
zh,10 Found Better Price,10 发现更好的价格
zh,11 Poor Customer Service,11 糟糕的客户服务
zh,12 Unlike Photo/Description,12 不同于照片/描述
zh,125*Compy. Contr Other Premium,125*公司。对照其他溢价
zh,125*HSA Contribution,125*HSA 贡献
zh,125*HSA Contribution (pre tax),125*HSA 贡献（税前）
zh,125*PPO,125*PPO
zh,125*PPO (pre tax),125*PPO（税前）
zh,13 COD Payment Rejected,13 COD 付款被拒绝
zh,401K Employer,401K 雇主
zh,ACH Direct,直通车
zh,API Token,API 令牌
zh,ATM debit or credit,ATM 借记或贷记
zh,Abandon,放弃
zh,Acc TX Types Invoice,Acc TX 类型发票
zh,Acc TX Types Payable,应付账款 TX 类型
zh,Acc TX Types Receivable,Acc TX 类型应收账款
zh,Access,使用权
zh,Access Code,访问代码
zh,Accessory,配饰
zh,Account Closed,帐户已关闭
zh,Account Contact Roles,帐户联系人角色
zh,Account Create Template - Client,帐户创建模板 - 客户端
zh,Account Frozen,账户冻结
zh,Account Invitation,开户邀请
zh,Account Sold to Another DFI,账户出售给另一个 DFI
zh,Account Template - Client,账户模板 - 客户端
zh,Account Transfer,账户转账
zh,Accounts Payable,应付账款
zh,Accounts Payable - Unapplied Payments,应付帐款 - 未应用的付款
zh,Accounts Payables Write Off,应付账款核销
zh,Accounts Receivable,应收账款
zh,Accounts Receivable - Unapplied Payments,应收账款 - 未应用的付款
zh,Accounts Receivables Write Off,应收账款核销
zh,Accrued Expenses,预提费用
zh,Accrued Revenue,应计收益
zh,Accumulated Amortization,累计摊销
zh,Accumulated Depreciation,累计折旧
zh,Activity Request,活动请求
zh,Actual,实际的
zh,Actual Product Component,实际产品组件
zh,Add On For,添加到
zh,Add To Cart Image,添加到购物车图片
zh,Add To Cart Label,添加到购物车标签
zh,Added Email Authentication Type,添加电子邮件身份验证类型
zh,Addenda Error,附录错误
zh,Addenda Format Error,附录格式错误
zh,Addendum,附录
zh,Additional Feature,附加功能
zh,Additional Medicare Employee,额外的医疗保险员工
zh,Address Validate Gateway Config ID,地址验证网关配置 ID
zh,Adjustment,调整
zh,Admin Allow (One),管理员允许（一）
zh,Administrative City,行政城市
zh,Adult,成人
zh,Advance Pay,预付款
zh,Advance Repayment,提前还款
zh,Advertisement,广告
zh,Advertising,广告
zh,Affiliate,附属公司
zh,Agent,代理人
zh,Agreement Document,协议文件
zh,Agreement Roles,协议角色
zh,Agreement Termination,协议终止
zh,Air Filter Replace,空气过滤器更换
zh,Alien Registration Number,外国人注册号码
zh,Alien Registration Receipt Card,外国人登录收据卡
zh,All,全部
zh,All Product Stores Markup Order Shipping (set to 'true'),所有产品商店标记订单发货（设置为“true”）
zh,All Product Stores Markup Shipment Labels (set to 'true'),所有产品商店标记发货标签（设置为“true”）
zh,All Users,全部用户
zh,Allow,允许
zh,Allowance For Bad Debts,坏账准备金
zh,Allowance for Bad Receivables,坏账准备
zh,Also Bought,还买了
zh,Also Used,也用过
zh,Alternate,备用
zh,Alternate Supplier,替代供应商
zh,Alternative Packaging,替代包装
zh,Always Allow (overrides Deny),始终允许（覆盖拒绝）
zh,Always Include,始终包括
zh,Amazon,亚马逊
zh,Amazon Pay,亚马逊支付
zh,Amazon Pay Account,亚马逊支付账户
zh,American Express,美国运通
zh,Amortization,摊销
zh,Amount,数量
zh,Amount Field Error,金额字段错误
zh,Announcement,公告
zh,Application Software,应用程序软件
zh,Area,区域
zh,Artist,艺术家
zh,Assembling,组装
zh,Asset (Good),资产（好）
zh,Asset - Fixed Asset,资产 - 固定资产
zh,Asset - Inventory,资产 - 库存
zh,Asset Issuance,资产发行
zh,Asset Receipt,资产收据
zh,Asset Usage (Rental),资产使用（出租）
zh,Asset Use,资产用途
zh,Asset Variance,资产差异
zh,Assets,资产
zh,Attachment,依恋
zh,Authenticator App (TOTP),身份验证器应用程序 (TOTP)
zh,Authorization Revoked by Customer,客户撤销授权
zh,Authorize,授权
zh,Authorize and Capture,授权和捕获
zh,Auto Reorder (needs recurrenceInfoId),自动重新排序（需要regressionInfoId）
zh,Automated Agent,自动化代理
zh,Automatic Replenish,自动补货
zh,Available,可用的
zh,Average Cost,平均成本
zh,Away,离开
zh,BAI 2,白2
zh,Back-Order Notice,缺货通知
zh,Bad Debt Expense,坏账费用
zh,Bank Account,银行账户
zh,Bank of America AR PNV,美国银行 AR PNV
zh,Banking Service Charges,银行服务收费
zh,Base path for store application,商店应用程序的基本路径
zh,Base path for store's product list,商店产品列表的基本路径
zh,Based On,基于
zh,Battery Check,电池检查
zh,Battery Replace,更换电池
zh,Bearer Biological,承载生物
zh,Belt Replacement,皮带更换
zh,Beneficiary or Account Holder Deceased,受益人或账户持有人已故
zh,Best Selling,最畅销
zh,Bill Through,账单通过
zh,Billing,计费
zh,Billing Account,结算帐号
zh,Bin - Shelf Std,Bin - 货架标准
zh,Biological,生物
zh,Birth Certificate,出生证明
zh,Bitcoin,比特币
zh,Bitcoin Wallet,比特币钱包
zh,Blacklisted,列入黑名单
zh,Block,堵塞
zh,Block Group,块组
zh,Boat,船
zh,Bonus (Discretionary),奖金（酌情）
zh,Bonus (Non-Discretionary),奖金（非全权决定）
zh,Brand,牌
zh,"Break Adjust (piece, etc)",“中断调整（件等）”
zh,Break Hourly Earnings,休息时薪
zh,Break RRP Earnings,打破 RRP 收益
zh,Browse Root (One),浏览根（一）
zh,Budget,预算
zh,Bug Fix,错误修复
zh,Building,建筑
zh,Bulk,大部分
zh,Business Travel,商务旅行
zh,Busy,忙碌的
zh,COGS - Average Cost Adjustment,COGS - 平均成本调整
zh,Calendar Roles,日历角色
zh,Call Center,呼叫中心
zh,Campaign,活动
zh,Can't Reproduce,无法重现
zh,Cannot Reproduce,无法重现
zh,Capital,首都
zh,Capitalization,大写
zh,Capture,捕获
zh,Care,关心
zh,Cargo Vehicle,货车
zh,Cash,现金
zh,Cash Income,现金收入
zh,Cash On Delivery,货到付款
zh,Cash and Equivalent,现金和等价物
zh,Cash withdrawal,取现金
zh,Catalog,目录
zh,Category Image Alt Text,类别图像替代文本
zh,Category Image URL,类别图片网址
zh,Category Name,分类名称
zh,Category Template - Client,类别模板 - 客户端
zh,Category Template - Server,类别模板 - 服务器
zh,Caused By,造成的
zh,Certificate of Deposit,存款证
zh,Certification of Birth Abroad,国外出生证明
zh,Certification of Report of Birth,出生报告证明
zh,Certified (USPS),认证 (USPS)
zh,Certified Check,认证支票
zh,Chargeback,退款
zh,Charitable Contribution,慈善捐助
zh,Charity Donation,慈善捐赠
zh,Check,查看
zh,Check Image,检查图像
zh,Check Truncation Entry Return,检查截断输入返回
zh,Checking,检查
zh,Checkout Header Template - Client,结帐标题模板 - 客户端
