moqui.basic.LocalizedMessage,seed
locale,original,localized
zh,401k - Pension Employer Contribution,401k - 养老金雇主供款
zh,401k - Pension Withholding,401k - 退休金预扣
zh,Accounting Fees,会计费用
zh,Accounts Payable - Commissions,应付账款 - 佣金
zh,Accounts Payable - Garnishment,应付帐款 - 扣押
zh,Accounts Payable - Loan,应付帐款 - 贷款
zh,Accounts Payable - Operating,应付账款 - 经营
zh,Accounts Payable - Payroll,应付帐款 - 工资单
zh,Accounts Payable - Tax,应付帐款 - 税
zh,Accounts Payable - Unapplied Payments,应付帐款 - 未应用的付款
zh,Accounts Payable Write Off,应付账款核销
zh,Accounts Receivable,应收账款
zh,Accounts Receivable - Allowance for Bad Debts,应收账款 - 坏账准备
zh,Accounts Receivable - Discount on Interest Receivable,应收账款 - 应收利息折扣
zh,Accounts Receivable - Interest Receivable,应收账款 - 应收利息
zh,Accounts Receivable - Non-Sufficient Funds Returned Checks,应收账款 - 资金不足退回支票
zh,Accounts Receivable - Trade,应收账款 - 贸易
zh,Accounts Receivable - Unapplied Payments,应收账款 - 未应用的付款
zh,Accounts Receivable Credit Cards - Allowance for Bad Debts,应收账款信用卡 - 坏账准备金
zh,Accounts Receivable Miscellaneous,应收账款杂项
zh,Accounts Receivable Write Off,应收账款核销
zh,Accrued Accounts Payable,应计应付账款
zh,Accrued Commissions Due,应计佣金
zh,Accrued Employee Medical Premiums,应计员工医疗保费
zh,Accrued Expenses,预提费用
zh,Accrued Payroll,应计工资
zh,Accrued Payroll Taxes,应计工资税
zh,Accrued Payroll Taxes - FICA Employer's Share,应计工资税 - FICA 雇主份额
zh,Accrued Payroll Taxes - Federal Unemployment Tax,应计工资税 - 联邦失业税
zh,Accrued Payroll Taxes - Medicare Employer's Share,应计工资税 - 医疗保险雇主的份额
zh,Accrued Payroll Taxes - State Unemployment Tax,应计工资税 - 州失业税
zh,Accrued Retirement Plan Expense,应计退休计划费用
zh,Accrued Revenue,应计收益
zh,Accrued Use Tax,应计使用税
zh,Accrued Wages Due,应计工资
zh,Accumulated Amortization,累计摊销
zh,Accumulated Amortization - Intellectual Property,累计摊销 - 知识产权
zh,Accumulated Depreciation,累计折旧
zh,Accumulated Depreciation - Biological Assets,累计折旧 - 生物资产
zh,Accumulated Depreciation - Building,累计折旧 - 建筑
zh,Accumulated Depreciation - Building Improvements,累计折旧 - 建筑改进
zh,Accumulated Depreciation - Data Processing Equipment,累计折旧 - 数据处理设备
zh,Accumulated Depreciation - Data Processing Software,累计折旧 - 数据处理软件
zh,Accumulated Depreciation - Equipment,累计折旧 - 设备
zh,Accumulated Depreciation - Investment Real Estate,累计折旧 - 投资房地产
zh,Accumulated Depreciation - Land,累计折旧 - 土地
zh,Accumulated Depreciation - Land Improvements,累计折旧 - 土地改良
zh,Accumulated Depreciation - Land and Building,累计折旧 - 土地和建筑物
zh,Accumulated Depreciation - Leasehold Improvements,累计折旧 - 租赁改善
zh,Accumulated Depreciation - Office Furniture Fixtures Equipment,累计折旧 - 办公家具固定设备
zh,Accumulated Depreciation - Other Assets,累计折旧 - 其他资产
zh,Accumulated Depreciation - Other Assets Root,累计折旧 - 其他资产根
zh,Accumulated Depreciation - Plant Equipment,累计折旧 - 厂房设备
zh,Accumulated Depreciation - Vehicles,累计折旧 - 车辆
zh,Advertising,广告
zh,Advertising and Promotion,广告和促销
zh,Amortization Expense,摊销费用
zh,Appeasement Discounts,绥靖折扣
zh,Asset Rental Sales,资产出租销售
zh,Asset Root,资产根
zh,Association Membership Fees,协会会员费
zh,Bad Debts,坏账
zh,Bank Service Charges,银行服务费
zh,Banking Service Charges,银行服务收费
zh,Basic Rent,基本租金
zh,Bearer Biological Assets,不记名生物资产
zh,Biological Assets,生物资产
zh,Bonus,奖金
zh,Building,建筑
zh,Building Improvements,建筑改进
zh,Business Consulting Fees,商业咨询费
zh,Business Insurance,商业保险
zh,Business Licenses and Fees,营业执照和费用
zh,Business Meals and Entertainment (50% Deductible),商务餐饮和娱乐（50% 免赔额）
zh,Business Travel Expense,差旅费
zh,COGS Avg Cost Adjustment,COGS 平均成本调整
zh,COGS Freight,COGS 运费
zh,COGS Freight In,COGS 运费
zh,COGS Freight Out,COGS 运费
zh,COGS Late Payment Charges,COGS 滞纳金
zh,COGS Shipping Supplies,COGS 运输用品
zh,Capital - Sole and Partnership,资本 - 独资和合伙
zh,Capital Gains Income,资本收益收入
zh,Cash Over / Short,套现/空头
zh,Cash Surrender Value of Life Insurance,人寿保险的现金退保价值
zh,Cash and Equivalent Asset,现金及等价资产
