moqui.basic.LocalizedMessage,seed
locale,original,localized
zh,Afghanistan,阿富汗
zh,Albania,阿尔巴尼亚
zh,Algeria,阿尔及利亚
zh,American Samoa,美属萨摩亚
zh,Andorra,安道尔
zh,Angola,安哥拉
zh,Anguilla,安圭拉
zh,Antarctica,南极洲
zh,Antigua And Barbuda,安提瓜和巴布达
zh,Argentina,阿根廷
zh,Armenia,亚美尼亚
zh,Aruba,阿鲁巴岛
zh,Australia,澳大利亚
zh,Austria,奥地利
zh,Azerbaijan,阿塞拜疆
zh,Bahamas,巴哈马
zh,Bahrain,巴林
zh,Bangladesh,孟加拉国
zh,Barbados,巴巴多斯
zh,Belarus,白俄罗斯
zh,Belgium,比利时
zh,Belize,伯利兹
zh,Benin,贝宁
zh,Bermuda,百慕大
zh,Bhutan,不丹
zh,Bolivia,玻利维亚
zh,Bosnia And Herzegowina,波斯尼亚和黑塞哥维那
zh,Botswana,博茨瓦纳
zh,Bouvet Island,布韦岛
zh,Brazil,巴西
zh,British Indian Ocean Territory,英属印度洋领地
zh,Brunei Darussalam,文莱达鲁萨兰国
zh,Bulgaria,保加利亚
zh,Burkina Faso,布基纳法索
zh,Burundi,布隆迪
zh,Cambodia,柬埔寨
zh,Cameroon,喀麦隆
zh,Canada,加拿大
zh,Cape Verde,佛得角
zh,Cayman Islands,开曼群岛
zh,Central African Republic,中非共和国
zh,Chad,乍得
zh,Chile,智利
zh,China,中国
zh,Christmas Island,圣诞岛
zh,Cocos (keeling) Islands,科科斯（基林）群岛
zh,Colombia,哥伦比亚
zh,Comoros,科摩罗
zh,Congo,刚果
zh,"Congo, The Democratic Republic Of The",刚果民主共和国
zh,Cook Islands,库克群岛
zh,Costa Rica,哥斯达黎加
zh,Cote D'ivoire,科特迪瓦
zh,Croatia (local Name: Hrvatska),克罗地亚（当地名称：Hrvatska）
zh,Cuba,古巴
zh,Cyprus,塞浦路斯
zh,Czech Republic,捷克共和国
zh,Denmark,丹麦
zh,Djibouti,吉布提
zh,Dominica,多米尼加
zh,Dominican Republic,多明尼加共和国
zh,East Timor,东帝汶
zh,Ecuador,厄瓜多尔
zh,Egypt,埃及
zh,El Salvador,萨尔瓦多
zh,Equatorial Guinea,赤道几内亚
zh,Eritrea,厄立特里亚
zh,Estonia,爱沙尼亚
zh,Ethiopia,埃塞俄比亚
zh,Falkland Islands (malvinas),福克兰群岛（马尔维纳斯）
zh,Faroe Islands,法罗群岛
zh,Fiji,斐济
zh,Finland,芬兰
zh,"France, Metropolitan","法国，大都会"
zh,France,法国
zh,French Guiana,法属圭亚那
zh,French Polynesia,法属波利尼西亚
zh,French Southern Territories,法属南部领地
zh,Gabon,加蓬
zh,Gambia,冈比亚
zh,Georgia,乔治亚州
zh,Germany,德国
zh,Ghana,加纳
zh,Gibraltar,直布罗陀
zh,Greece,希腊
zh,Greenland,格陵兰
zh,Grenada,格林纳达
zh,Guadeloupe,瓜德罗普岛
zh,Guam,关岛
zh,Guatemala,危地马拉
zh,Guinea,几内亚
zh,Guinea-bissau,几内亚比绍
zh,Guyana,圭亚那
zh,Haiti,海地
zh,Heard And Mc Donald Islands,赫德和麦克唐纳德群岛
zh,Holy See (vatican City State),罗马教廷（梵蒂冈城国）
zh,Honduras,洪都拉斯
zh,Hong Kong,香港
zh,Hungary,匈牙利
zh,Iceland,冰岛
zh,India,印度
zh,Indonesia,印度尼西亚
zh,Iran (islamic Republic Of),伊朗（伊斯兰共和国）
zh,Iraq,伊拉克
zh,Ireland,爱尔兰
zh,Israel,以色列
zh,Italy,意大利
zh,Jamaica,牙买加
zh,Japan,日本
zh,Jordan,约旦
zh,Kazakhstan,哈萨克斯坦
zh,Kenya,肯尼亚
zh,Kiribati,基里巴斯
zh,"Korea, Democratic People's Republic Of",朝鲜民主主义人民共和国
zh,"Korea, Republic Of",大韩民国
zh,Kuwait,科威特
zh,Kyrgyzstan,吉尔吉斯斯坦
zh,Lao People's Democratic Republic,老挝人民民主共和国
zh,Latvia,拉脱维亚
zh,Lebanon,黎巴嫩
zh,Lesotho,莱索托
zh,Liberia,利比里亚
zh,Libyan Arab Jamahiriya,阿拉伯利比亚民众国
zh,Liechtenstein,列支敦士登
zh,Lithuania,立陶宛
zh,Luxembourg,卢森堡
zh,Macau,澳门
zh,"Macedonia, The Former Yugoslav Republic Of","马其顿，前南斯拉夫共和国"
zh,Madagascar,马达加斯加
zh,Malawi,马拉维
zh,Malaysia,马来西亚
zh,Maldives,马尔代夫
zh,Mali,马里
zh,Malta,马耳他
zh,Marshall Islands,马绍尔群岛
zh,Martinique,马提尼克
zh,Mauritania,毛里塔尼亚
zh,Mauritius,毛里求斯
zh,Mayotte,马约特岛
zh,Mexico,墨西哥
zh,"Micronesia, Federated States Of",密克罗尼西亚联邦
zh,"Moldova, Republic Of",摩尔多瓦共和国
zh,Monaco,摩纳哥
zh,Mongolia,蒙古
zh,Montenegro,黑山
zh,Montserrat,蒙特塞拉特
zh,Morocco,摩洛哥
zh,Mozambique,莫桑比克
zh,Myanmar,缅甸
zh,Namibia,纳米比亚
zh,Nauru,瑙鲁
zh,Nepal,尼泊尔
zh,Netherlands,荷兰
zh,Netherlands Antilles,荷属安的列斯
zh,New Caledonia,新喀里多尼亚
zh,New Zealand,新西兰
zh,Nicaragua,尼加拉瓜
zh,Niger,尼日尔
zh,Nigeria,尼日利亚
zh,Niue,纽埃
zh,Norfolk Island,诺福克岛
zh,Northern Mariana Islands,北马里亚纳群岛
zh,Norway,挪威
zh,Oman,阿曼
zh,Pakistan,巴基斯坦
zh,Palau,帕劳
zh,"Palestinian Territory, Occupied","巴勒斯坦领土，被占领"
zh,Panama,巴拿马
zh,Papua New Guinea,巴布亚新几内亚
zh,Paraguay,巴拉圭
zh,Peru,秘鲁
zh,Philippines,菲律宾
zh,Pitcairn,皮特凯恩
zh,Poland,波兰
zh,Portugal,葡萄牙
zh,Puerto Rico,波多黎各
zh,Qatar,卡塔尔
zh,Reunion,团圆
zh,Romania,罗马尼亚
zh,Russian Federation,俄罗斯联邦
zh,Rwanda,卢旺达
zh,Saint Kitts And Nevis,圣基茨和尼维斯
zh,Saint Lucia,圣卢西亚
zh,Saint Vincent And The Grenadines,圣文森特和格林纳丁斯
zh,Samoa,萨摩亚
zh,San Marino,圣马力诺
zh,Sao Tome And Principe,圣多美和普林西比
zh,Saudi Arabia,沙特阿拉伯
zh,Senegal,塞内加尔
zh,Serbia,塞尔维亚
zh,Seychelles,塞舌尔
zh,Sierra Leone,塞拉利昂
zh,Singapore,新加坡
zh,Slovakia (slovak Republic),斯洛伐克（斯洛伐克共和国）
zh,Slovenia,斯洛文尼亚
zh,Solomon Islands,所罗门群岛
zh,Somalia,索马里
zh,South Georgia And The South Sandwich Islands,南乔治亚岛和南桑威奇群岛
zh,South Africa,南非
zh,Spain,西班牙
zh,Sri Lanka,斯里兰卡
zh,St. Helena,圣赫勒拿
zh,St. Pierre And Miquelon,圣皮埃尔和密克隆
zh,Sudan,苏丹
zh,Suriname,苏里南
zh,Svalbard And Jan Mayen Islands,斯瓦尔巴和扬马延群岛
zh,Swaziland,斯威士兰
zh,Sweden,瑞典
zh,Switzerland,瑞士
zh,Syrian Arab Republic,阿拉伯叙利亚共和国
zh,Taiwan,台湾
zh,Tajikistan,塔吉克斯坦
zh,"Tanzania, United Republic Of",坦桑尼亚联合共和国
zh,Thailand,泰国
zh,Togo,多哥
zh,Tokelau,托克劳
zh,Tonga,汤加
zh,Trinidad And Tobago,特立尼达和多巴哥
zh,Tunisia,突尼斯
zh,Turkey,火鸡
zh,Turkmenistan,土库曼斯坦
zh,Turks And Caicos Islands,特克斯和凯科斯群岛
zh,Tuvalu,图瓦卢
zh,Uganda,乌干达
zh,Ukraine,乌克兰
zh,United States,美国
zh,United States Minor Outlying Islands,美国本土外小岛屿
zh,United Arab Emirates,阿拉伯联合酋长国
zh,United Kingdom,英国
zh,Uruguay,乌拉圭
zh,Uzbekistan,乌兹别克斯坦
zh,Vanuatu,瓦努阿图
zh,Venezuela,委内瑞拉
zh,Viet Nam,越南
zh,Virgin Islands (british),维尔京群岛（英属）
zh,Virgin Islands (u.s.),维尔京群岛（美国）
zh,Wallis And Futuna Islands,瓦利斯和富图纳群岛
zh,Western Sahara,西撒哈拉
zh,Yemen,也门
zh,Yugoslavia,南斯拉夫
zh,Zambia,赞比亚
zh,Zimbabwe,津巴布韦
