moqui.basic.LocalizedMessage,demo
locale,original,localized
#select locale || ',' || ORIGINAL||','|| LOCALIZED from Localized_Message  where locale='zh' order by original
zh,"${ec.resource.expand('PartyNameOnlyTemplate','',msgFrom)} at ${ec.l10n.format(nodeList_entry?.entryDate, 'yyyy-MM-dd HH:mm')} (${statusItem?.description})","${ec.resource.expand('PartyNameOnlyTemplate','',msgFrom)}发送于${ec.l10n.format(nodeList_entry?.entryDate, 'yyyy-MM-dd HH:mm')}"
zh,"${isIncoming ? 'Incoming' : (isOutgoing ? 'Outgoing' : (isTransfer ? 'Transfer' : 'Unknown Type'))} Shipment #${shipmentId}","${isIncoming ? '入库' : (isOutgoing ? '出库' : (isTransfer ? '移库' : 'Unknown Type'))}单#${shipmentId}"
zh,"${orderPartInfo.isVendorInternalOrg ? 'Sales' : 'Purchase'} Order Part ${orderPart.orderPartSeqId}","${orderPartInfo.isVendorInternalOrg ? '销售' : '采购'}订单拆单${orderPart.orderPartSeqId}"
zh,(Asc),(升)
zh,(Desc),(降)
zh,A reset password was sent by email to ${userAccount.emailAddress}. This password may only be used to change your password. Your current password is still valid.,重置密码已发送到邮箱${userAccount.emailAddress}，此重置密码仅做修改密码使用。你当前的密码仍然有效。
zh,ATP Diff,ATP变化
zh,Abbrev,缩写
zh,Accepted,接收
zh,Account,账户
zh,Account #,账户卡号
zh,Account Code,科目代码
zh,Account Detail,账号详情
zh,Account Balance History,科目余额历史
zh,Account Ledger,分类帐
zh,Account Name,账户名称
zh,Account Owner,账户拥有者
zh,Account Tree,科目树
zh,Account Type,科目类型
zh,Account Types,科目类型
zh,Account with username ${username} does not have an email address,用户名为${username}的账号没有设置电子邮箱
zh,Accounting,会计
zh,Accounting Preferences,会计偏好
zh,Accounting Preferences for ${partyDetail.organizationName} [${partyDetail.pseudoId}],${partyDetail.organizationName}[${partyDetail.pseudoId}]的会计偏好
zh,AccountingDashboardTitle,仪表盘
zh,AccountingTitle,财务管理
zh,Acquire Cost,采购成本
zh,Acquire Order ID,采购订单
zh,Acquired,采购日期
zh,Acquired Date,采购日期
zh,Active Saved Find:,当前使用的查找:
zh,Active Warehouse,当前仓库
zh,Actual,实际
zh,Actual Arrival,实际到达
zh,Actual Complete,实际完成
zh,Actual Start,实际开始
zh,Add,添加
zh,Add Address,添加邮寄地址
zh,Add Adjustment Item,添加调整条目
zh,Add All to Category,添加产品到分类
zh,Add Asset,添加资产
zh,Add Assoc,添加关联
zh,Add Attachment,添加附件
zh,Add Box Type,添加包装箱类型
zh,Add Carrier Shipment Method,添加配送方法
zh,Add Child Account,添加
zh,Add Child Category,添加子分类
zh,Add Comment,添加评论
zh,Add Contact,添加
zh,Add Content,添加
zh,Add Dest. Address,添加目的地址
zh,Add Dimension,添加度量
zh,Add Direct Role,添加直接角色
zh,Add Equipment,添加设备
zh,Add Feature,添加特征
zh,Add Feature to All,添加产品特征
zh,Add From Orders,从订单添加
zh,Add Identification,添加唯一标识
zh,Add Item,添加条目
zh,Add Location,添加位置
zh,Add Location Type,添加位置类型
zh,Add Maintenance,添加维护
zh,Add Meter,添加仪表
zh,Add New,添加新
zh,Add Note,添加
zh,Add Orders,添加订单
zh,Add Origin Address,添加原地址
zh,Add Other Item,添加其他条目
zh,Add Other Maintenance,添加维护记录
zh,Add Other Role,添加其他角色
zh,Add Package,添加包装箱
zh,Add Parent Account,添加
zh,Add Part,添加拆单
zh,Add Party,添加当事人
zh,Add Payment,添加付款单
zh,Add Payment Gateway,添加支付网关
zh,Add Person,添加人员
zh,Add Planned Maintenance,添加维护计划
zh,Add Product,添加产品
zh,Add Product Item,添加产品条目
zh,Add Project Assignment,添加项目指派
zh,Add Promo Code,添加促销代码
zh,Add Purpose,添加用途
zh,Add Rate Amount,添加单价
zh,Add Shipments,添加运单
zh,Add Shipping Address,添加配送地址
zh,Add Shipping Gateway,添加配送网关
zh,Add Store,添加店铺
zh,Add Task Assignment,添加任务指派
zh,Add Time Entry,添加工时记录
zh,Add To Feature Group,添加到特征组
zh,Add To Product,添加到产品
zh,Add To Request,添加到审批
zh,Add UOM Dimension,添加度量
zh,Add to Category,添加到分类
zh,Add to Group,添加组
zh,Add to Organization,添加组织
zh,Add to Package,装入
zh,Add to Picklist,添加到拣货单
zh,Add to Sales Account,添加
zh,Address 1,地址1
zh,Address 2,地址2
zh,Address Purpose,地址用途
zh,Address Trust,地址信任
zh,Address1,地址1
zh,Adjust Item,调整条目
