moqui.basic.LocalizedMessage,seed
locale,original,localized
#The following text value too long to be added to LocalizedMessage
#zh,Recurring orders in the Approved status will be automatically cloned according to the schedule and the clone will be automatically Placed. If there are no Approve Warnings the cloned order will be automatically Approved. If Auto Invoice is set to Y then if Approved will also create an Invoice for the Order.,处于已批准状态的重复订单将根据时间计划自动克隆，并且克隆订单将自动下定。 如果没有批准警告，克隆的订单将自动获得批准。 如果Auto Invoice设置为Y，那么批准订单的同时也会创建发票。
zh," - Res: ${ec.l10n.format(resInfo.existingRes.quantity, null)}, Not Avail: ${ec.l10n.format(resInfo.existingRes.quantityNotAvailable, null)}, Not Issued: ${ec.l10n.format(resInfo.existingRes.quantityNotIssued, null)}"," - 预约: ${ec.l10n.format(resInfo.existingRes.quantity, null)}, 不可用: ${ec.l10n.format(resInfo.existingRes.quantityNotAvailable, null)}, 未出货: ${ec.l10n.format(resInfo.existingRes.quantityNotIssued, null)}"
zh," for Asset, Facility, Invoice, Order, Return, Party, Badge, Payment, Product, Shipment, Work Effort (Project, Task, Picklist, Production Run), GL Transaction",资产，设施，账单，订单，退货，参与者，徽章，付款单，产品，运单，工作量（项目，任务，拣货，生产运行），总账凭证
zh,"${ec.resource.expand('PartyNameOnlyTemplate','',msgFrom)} at ${ec.l10n.format(nodeList_entry?.entryDate, 'yyyy-MM-dd HH:mm')} (${statusItem?.description})","${ec.resource.expand('PartyNameOnlyTemplate','',msgFrom)}发送于${ec.l10n.format(nodeList_entry?.entryDate, 'yyyy-MM-dd HH:mm')}"
zh,${isIncoming ? 'Incoming' : (isOutgoing ? 'Outgoing' : (isTransfer ? 'Transfer' : 'Unknown Type'))} Shipment #${shipmentId},${isIncoming ? '入库' : (isOutgoing ? '出库' : (isTransfer ? '调拨' : 'Unknown Type'))}单#${shipmentId}
zh,${orderPartInfo.customerEmail ?: 'No Order or Primary email found'},${orderPartInfo.customerEmail ?: '未发现订单邮箱或者主邮箱'}
zh,${orderPartInfo.isVendorInternalOrg ? 'Sales' : 'Purchase'} Order Part ${orderPart.orderPartSeqId},${orderPartInfo.isVendorInternalOrg ? '销售' : '采购'}订单拆单${orderPart.orderPartSeqId}
zh,${pstats.projectDanger ? 'Danger' : (pstats.projectWarning ? 'Warning' : 'On Track')},${pstats.projectDanger ? '危险' : (pstats.projectWarning ? '警告' : '在轨')}
zh,${pstats.taskCount} Tasks,${pstats.taskCount}任务
zh,${timeEntryId ? 'Update' : 'Add'} Time Entry,${timeEntryId ? '更新' : '添加'}工时记录
zh,% of Sales,%占总销售额
zh,(Asc),(升)
zh,(Desc),(降)
zh,- Hold Part,-挂起拆单
zh,0 - ${periodDays} days,0 - ${periodDays}天
zh,${periodDays+1} - ${periodDays*2} days,${periodDays+1} - ${periodDays*2}天
zh,${periodDays*2+1} - ${periodDays*3} days,${periodDays*2+1} - ${periodDays*3}天
zh,${periodDays*3+1} - ${periodDays*4} days,${periodDays*3+1} - ${periodDays*4}天
zh,> ${periodDays*4} days,> ${periodDays*4}天
zh,A reset password was sent by email to ${userAccount.emailAddress}. This password may only be used to change your password. Your current password is still valid.,重置密码已发送到邮箱${userAccount.emailAddress}，此重置密码仅做修改密码使用。你当前的密码仍然有效。
zh,AR/AP,应收/应付
zh,AR Aging Summary,应收账龄概要
zh,ATP Diff,ATP变化
zh,Abbrev,缩写
zh,Abbreviation,缩写
zh,Account,账户
zh,Account #,账户卡号
zh,Account Balance,科目余额
zh,Account Balance History,科目余额历史
zh,Account Class,账户类
zh,Account Code,科目代码
zh,Account Detail,账号详情
zh,Account Ledger,分类帐
zh,Account Name,账户名称
zh,Account Owner,账户拥有者
zh,Account Tree,科目树
zh,Account Type,科目类型
zh,Account Types,科目类型
zh,Account with username ${username} does not have an email address,用户名为${username}的账号没有设置电子邮箱
zh,Accountant,会计
zh,Accounting,会计
zh,Accounting Preferences,会计偏好
zh,Accounting Preferences for ${partyDetail.organizationName} [${partyDetail.pseudoId}],${partyDetail.organizationName}[${partyDetail.pseudoId}]的会计偏好
zh,AccountingDashboardTitle,仪表盘
zh,AccountingTitle,财务管理
zh,Accounts,账户
zh,Acquire Cost,采购成本
zh,Acquire Order ID,采购订单
zh,Acquired,采购日期
zh,Acquired Date,采购日期
zh,Act,实际
