moqui.basic.LocalizedMessage,seed
locale,original,localized
zh,"Inventory not available, not updating order ${orderId}:${orderPartSeqId} product ${productId} for quantity ${quantity}",库存不可用，未能更新订单【${orderId}:${orderPartSeqId}】中的产品【${productId}】数量到${quantity}
zh,"Inventory insufficient, not updating order ${orderId}:${orderPartSeqId} product ${productId} for quantity ${quantity}",库存不足，未能更新订单【${orderId}:${orderPartSeqId}】中的产品【${productId}】数量到${quantity}
zh,"Inventory required but not all available, not placing order ${orderId}",需要库存但不是全部可用，未能下订订单【${orderId}】
zh,"Billing address ${billingAddress.address1}, ${billingAddress.postalCode} does not match shipping address",账单地址${billingAddress.address1} ${billingAddress.postalCode}与配送地址不一致
zh,Required parameter missing (${pi.name}),缺少必要参数(${pi.name})
zh,"No Asset, Container, Location, or Product found with ID ${scanId}",未找到ID为${scanId}的资产、容器、位置、产品
zh,"Not posting Asset Receipt ${assetReceiptId}, Asset ${asset.assetId} has no Acquire Cost",资产${asset.assetId}没有成本，未过账资接收${assetReceiptId}
zh,Part ${orderPart.orderPartSeqId} has no shipping address,拆单${orderPart.orderPartSeqId}没有配送地址
zh,Name on payment method ${paymentMethod.companyNameOnAccount ?: combinedPmPersonName} does not match customer name ${combinedCustName},支付方式上的名称${paymentMethod.companyNameOnAccount ?: combinedPmPersonName}与客户名称${combinedCustName}不匹配
zh,Name on payment method ${combinedPmPersonName} does not match customer name ${combinedCustName},支付方式上的名称${combinedPmPersonName}与客户名称不匹配${combinedCustName}
zh,Shipping address ${addr?.contactMechId} has no Address 1 line,配送地址${addr?.contactMechId}没有地址1
zh,"Shipping address ${addr.address1}, ${addr.postalCode} matches ${trustLevelEnum?.description} address ${firstMatch.address1}, ${firstMatch.postalCode}","配送地址${addr.address1}${addr.postalCode}匹配${trustLevelEnum?.description}地址${firstMatch.address1}, ${firstMatch.postalCode}"
zh,"Billing address ${addr.address1}, ${addr.postalCode} matches ${trustLevelEnum?.description} address ${firstMatch.address1}, ${firstMatch.postalCode}","账单地址${addr.address1}${addr.postalCode}匹配${trustLevelEnum?.description}地址${firstMatch.address1}, ${firstMatch.postalCode}"
zh,"Billing address ${addr.address1}, ${addr.postalCode} is BLACKLISTED","账单地址${addr.address1}, ${addr.postalCode}在黑名单中"
zh,"Billing address ${addr.address1}, ${addr.postalCode} is Greylisted","账单地址${addr.address1}, ${addr.postalCode}在灰名单中"
zh,"Large Order: total ${ec.l10n.format(orderHeader.grandTotal, ""#,##0.00"")} is greater than ${ec.l10n.format(largeOrderAmountBd, ""#,##0.00"")}","大额订单: 总金额 ${ec.l10n.format(orderHeader.grandTotal, ""#,##0.00"")}大于${ec.l10n.format(largeOrderAmountBd, ""#,##0.00"")}"
zh,"Large Web Order: total ${ec.l10n.format(orderHeader.grandTotal, ""#,##0.00"")} is greater than ${ec.l10n.format(largeWebOrderAmountBd, ""#,##0.00"")}","大额Web订单: 总金额 ${ec.l10n.format(orderHeader.grandTotal, ""#,##0.00"")}大于${ec.l10n.format(largeOrderAmountBd, ""#,##0.00"")}"
zh,"Item ${orderItem.orderItemSeqId} has ${ec.l10n.format(quantity, ""0.##"")} which is greater than ${bdPercAvailInv}% of available inventory (${ec.l10n.format(availableToPromiseTotal, ""0.##"")})","条目${orderItem.orderItemSeqId}数量为${ec.l10n.format(quantity, ""0.##"")}，它大于可用库存 (${ec.l10n.format(availableToPromiseTotal, ""0.##"")})的${bdPercAvailInv}%。"
zh,"Item ${orderItemSeqId} has ${ec.l10n.format(quantityNotAvailable, ""0.##"")} of ${ec.l10n.format(curOrderItem.quantity, ""0.##"")} not available in inventory","条目${orderItemSeqId}数量为${ec.l10n.format(curOrderItem.quantity, ""0.##"")}，有${ec.l10n.format(quantityNotAvailable, ""0.##"")}库存不可用"
zh,"Item ${orderItem.orderItemSeqId} product ${productId} quantity ${ec.l10n.format(orderItem.quantity, ""0.##"")} is greater than ${ec.l10n.format(quantityMax, ""#,##0.##"")}, the average of previously ordered quantities plus 3 standard deviations","条目${orderItem.orderItemSeqId}产品${productId}的数量${ec.l10n.format(orderItem.quantity, ""0.##"")}大于${ec.l10n.format(quantityMax, ""#,##0.##"")}, 过往订单的平均订购数量加3个偏差"
zh,"Item ${orderItem.orderItemSeqId} has ${ec.l10n.format(quantity, ""0.##"")} which is greater than ${bdPercAvailInv}% of available inventory (${ec.l10n.format(availableToPromiseTotal, ""0.##"")})","条目${orderItem.orderItemSeqId}数量为${ec.l10n.format(quantity, ""0.##"")}，它大于可用库存 (${ec.l10n.format(availableToPromiseTotal, ""0.##"")})的${bdPercAvailInv}%。"
zh,"Part ${orderPart.orderPartSeqId} total ${ec.l10n.format(orderPart.partTotal, ""#,##0.00"")} is greater than ${ec.l10n.format(partMaxTotal, ""#,##0.00"")}, the average of other order parts plus 3 standard deviations","拆单${orderPart.orderPartSeqId}总额${ec.l10n.format(orderPart.partTotal, ""#,##0.00"")}大于${ec.l10n.format(partMaxTotal, ""#,##0.00"")}, 其他拆单的平均值加上3个偏差"
zh,"Item ${orderItem.orderItemSeqId} price ${ec.l10n.format(unitAmount, ""0.00"")} is greater than ${ec.l10n.format(purchasePricePercent, ""0"")}% of the lowest sale price ${ec.l10n.format(lowestPrice, ""0.00"")} for product ${orderItem.productId}","条目${orderItem.orderItemSeqId}的价格${ec.l10n.format(unitAmount, ""0.00"")}大于产品${orderItem.productId}最低价${ec.l10n.format(lowestPrice, ""0.00"")}的${ec.l10n.format(purchasePricePercent, ""0"")}%"
