moqui.basic.LocalizedMessage,seed
locale,original,localized
zh,"Half Due In Advance, Half Due 30 Days after Invoice",提前一半到期，发票后 30 天一半到期
zh,Immediate (Due on Delivery),立即（交货时到期）
zh,Net Due in 10 Days,10 天后净到期
zh,Net Due in 15 Days,15 天后净到期
zh,Net Due in 30 Days,30 天内到期净额
zh,"Net Due in 30 Days, 2% Discount within 10 Days",30天内到期，10天内2%折扣
zh,"Net Due in 45 Days, 2% Discount within 15 Days",45天到期，15天2折
zh,Net Due in 60 Days,60 天内到期净额
zh,Net Due in 90 Days,90 天内到期净额
zh,Net Due on 15th of Current Month,本月 15 日到期净额
zh,Net Due on 15th of Next Month,下月 15 日到期净额
zh,Net Due on 1st of Next Month,下月 1 日到期净额
zh,Net Due on Last Day of Current Month,本月最后一天到期净额
zh,Net Due on Last Day of Next Month,下个月最后一天到期净额
