moqui.basic.LocalizedMessage,seed
locale,original,localized
zh,Aborted,已中止
zh,Accepted,已接受
zh,Acknowledged,已确认
zh,Activated,活性
zh,Active,积极的
zh,Active/Open,主动/开放
zh,Approved,已批准
zh,Arrived,已到达
zh,Assigned,已分配
zh,Authorized,已验证
zh,Auto Reorder,自动重新排序
zh,Available,可用的
zh,Being Changed,改变中
zh,Billed Through,已计费
zh,Bounced,已退回
zh,Canceled,已取消
zh,Cancelled,取消
zh,Cancelled by Customer,被客户取消
zh,Closed,已关闭
zh,Complete,完成
zh,Completed,已完成
zh,Confirmed,已确认
zh,Confirmed Paid,确认已付
zh,Consumed,已消耗
zh,Consuming,消耗中
zh,Contacted,已联系
zh,Conversation,对话
zh,Converted,已转换
zh,Created,已创建
zh,Deactivated,停用
zh,Declined,已拒绝
zh,Defective,有缺陷的
zh,Defined,已定义
zh,Deleted,已删除
zh,Delivered,已送达
zh,Departed,离开
zh,Disqualified,取消资格
zh,Draft,草案
zh,Error,错误
zh,Finalized,已定稿
zh,Gift Registry,礼品登记处
zh,Held,已暂停
zh,Implemented,已实施
zh,In Design,设计中
zh,In Planning,规划中
zh,In Process,处理中
zh,In Progress,进行中
zh,In Storage,存储中
zh,In Transfer,传输中
zh,In Transfer (Promised),传输中（承诺）
zh,In Use,使用中
zh,In Validation,验证中
zh,In-Draft,草稿
zh,In-Process,处理中
zh,In-Progress,进行中
zh,Inactive/Closed,不活动/已关闭
zh,Incoming,传入
zh,Input,输入
zh,Invalid,无效的
zh,Manual Response Required,需要手动响应
zh,Manually Frozen,人工冻结
zh,Morgue,坏损
zh,Negative Pending Replenishment,负待补货
zh,Not Applicable,不适用
zh,Not Reconciled,不和解
zh,Not Sent,未发送
zh,Not Started,没有开始
zh,Offered,已提供
zh,On Hold,暂停
zh,Open (Tentative),开始（暂定）
zh,Opportunity,机会
zh,Ordered,已订购
zh,Other Error,其他错误
zh,Packed,已打包
zh,Partly Reconciled,部分和解
zh,Payment Received,已到付款
zh,Payment Sent,已付款
zh,Pending,待定中
zh,Pending Acceptance,待定接受
zh,Pending Held,待定暂停
zh,Picked,已拣货
zh,Placed by Customer,客户已下单
zh,Planned,已计划
zh,Planned For,计划用于
zh,Processing,处理中
zh,Processing Stopped,处理停止
zh,Produced,已生产
zh,Promised,已承诺
zh,Proposed,已建议
zh,Qualified,已具备资格
zh,Quarantine,隔离
zh,Quote Proposed by Vendor,供应商报价
zh,Quote Requested by Customer,客户询价
zh,Ready,准备好
zh,Received,已收到
zh,Reconciled,已和解
zh,Referred,已被引用
zh,Rejected,已拒绝
zh,Rejected by Vendor,被供应商拒绝
zh,Request Denied,请求被拒绝
zh,Requested,请求
zh,Resolved,解决
zh,Returned,回来
zh,Reviewed,已审核
zh,Running,跑步
zh,Scheduled,已安排
zh,Send Failed,发送失败
zh,Sending,发送
zh,Sent,发送
zh,Shipped,已发货
zh,Submitted,已提交
zh,Tested,已测试
zh,Unassigned,未分配
zh,Unattempted,未尝试
zh,Unknown Party,未知当事人
zh,Unsubscribe Pending,取消订阅待定
zh,Unsubscribed,已退订
zh,Viewed,已查看
zh,Void,无效
zh,Voided,已作废
zh,Wish List,愿望清单
zh,Write Off,冲销
